,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mehamn,71.0357,27.8492,30.11,86,40,6.91,NO,1634668289
1,nikki,9.9401,3.2108,75.25,86,63,4.7,BJ,1634668364
2,rikitea,-23.1203,-134.9692,74.86,71,5,21.25,PF,1634668135
3,saint george,37.1041,-113.5841,63.54,39,1,3.0,US,1634668135
4,asfi,32.2994,-9.2372,70.84,85,27,6.8,MA,1634668136
5,kirakira,-10.4544,161.9205,79.9,81,100,6.64,SB,1634668070
6,palmer,42.1584,-72.3287,64.72,39,20,3.0,US,1634668171
7,karratha,-20.7377,116.8463,69.82,52,98,14.81,AU,1634668085
8,mogadishu,2.0371,45.3438,79.16,84,100,11.79,SO,1634668278
9,nichinan,31.6,131.3667,58.89,68,98,6.15,JP,1634668365
10,havelock,34.8791,-76.9013,74.98,40,1,1.99,US,1634668133
11,sabha,27.0377,14.4283,81.03,22,100,15.41,LY,1634668113
12,lang son,21.8333,106.7333,69.84,96,100,2.04,VN,1634668396
13,avarua,-21.2078,-159.775,71.65,83,90,2.3,CK,1634667914
14,hobyo,5.3505,48.5268,78.76,84,76,14.7,SO,1634668096
15,madhoganj,27.1167,80.15,72.39,94,58,5.14,IN,1634668397
16,collie,-33.3667,116.15,50.99,91,100,13.42,AU,1634668397
17,victoria point,-27.5833,153.3,63.61,94,2,2.19,AU,1634668139
18,mizan teferi,6.9833,35.5833,64.6,72,100,3.22,ET,1634668139
19,gat,31.61,34.7642,72.28,100,42,4.94,IL,1634668139
20,pisco,-13.7,-76.2167,67.01,82,46,11.5,PE,1634668030
21,porto de moz,-1.7483,-52.2383,80.37,74,93,4.54,BR,1634668140
22,ilulissat,69.2167,-51.1,41.02,30,75,16.11,GL,1634668053
23,thompson,55.7435,-97.8558,41.16,48,75,12.66,CA,1634667760
24,mataura,-46.1927,168.8643,41.07,65,95,3.13,NZ,1634668000
25,iqaluit,63.7506,-68.5145,37.13,86,90,24.0,CA,1634668326
26,iguatemi,-23.6803,-54.5611,73.15,65,0,7.23,BR,1634668368
27,faanui,-16.4833,-151.75,79.88,78,98,14.34,PF,1634668084
28,yeppoon,-23.1333,150.7333,71.38,90,7,7.63,AU,1634668368
29,tuktoyaktuk,69.4541,-133.0374,15.8,100,40,5.75,CA,1634668029
30,lubbock,33.6001,-101.8338,82.38,32,20,4.0,US,1634668139
31,taoudenni,22.6783,-3.9836,87.03,14,17,13.38,ML,1634668369
32,katsuura,35.1333,140.3,62.62,80,100,7.02,JP,1634668138
33,coihaique,-45.5752,-72.0662,70.41,49,40,10.36,CL,1634668369
34,bac lieu,9.285,105.7244,80.04,81,32,1.54,VN,1634668030
35,bonthe,7.5264,-12.505,79.95,80,98,5.88,SL,1634668370
36,petropavlovsk-kamchatskiy,53.0452,158.6483,30.79,100,90,2.24,RU,1634668141
37,bom despacho,-19.7364,-45.2522,78.12,60,99,5.3,BR,1634668142
38,panjakent,39.4952,67.6093,53.4,24,75,2.77,TJ,1634668142
39,port hedland,-20.3167,118.5667,73.45,73,98,8.05,AU,1634668025
40,kavieng,-2.5744,150.7967,82.35,74,34,9.08,PG,1634668188
41,cacequi,-29.8836,-54.825,72.91,47,0,8.34,BR,1634668143
42,nishihara,26.1842,127.7558,74.48,67,75,10.36,JP,1634668144
43,guarapari,-20.6667,-40.4975,73.29,95,100,12.84,BR,1634668144
44,ayame,5.6083,-3.1563,75.22,94,100,3.13,CI,1634668230
45,barsovo,61.1667,73.1667,51.93,64,97,16.11,RU,1634668510
46,souillac,-20.5167,57.5167,73.78,78,40,8.05,MU,1634668510
47,bilibino,68.0546,166.4372,3.29,97,100,3.13,RU,1634668511
48,west wendover,40.7391,-114.0733,54.61,47,1,24.16,US,1634668511
49,pala,9.3642,14.9046,79.95,68,50,2.57,TD,1634668511
50,aden,12.7794,45.0367,85.41,68,74,9.75,YE,1634668018
51,harper,4.375,-7.7169,77.95,86,46,7.45,LR,1634668512
52,chupa,66.27,33.0549,28.87,82,20,5.39,RU,1634668332
53,nizhniy chir,48.3597,43.0865,42.55,58,18,11.52,RU,1634668512
54,samarai,-10.6167,150.6667,80.89,80,41,7.96,PG,1634668119
55,tessalit,20.1986,1.0114,84.04,12,0,14.83,ML,1634668339
56,forio,40.7342,13.8646,66.42,73,29,5.01,IT,1634668513
57,murchison,-41.8,172.3333,48.76,90,91,1.61,NZ,1634668513
58,laguna,38.421,-121.4238,65.21,57,1,1.01,US,1634668112
